url,name,timestamp,keywords,keywordsintweet,title,keywordscores
https://t.co/pH7NgyCIQq,cnnbrk,1532302011,"{cnn,branson,coleman,captain,sail,thunderstorm,almasy,victims,according,feet,sank,transportation,safety,lake,rock,told}","{captain,lake,told}","People killed in duck boat tragedy weren't wearing life jackets when found, source says",
https://t.co/hVWV6N2ZcF,cnnbrk,1532300481,"{police,authorities,south,province}",{},11 taxi drivers killed while heading back from a funeral in South Africa,
https://t.co/adXXnNY8P8,Reuters,1532115000,"{trump,deal,""separate trade deals"",canada,macnaughton,american,brunswick,comments,comment,state,states,nafta,president,david}","{deal,comments,comment}","Canada plays down Trump comments on NAFTA, sees trilateral deal",
https://t.co/e6zll4Vjqe,Reuters,1532307039,"{dollar,stocks,file,markets,""term said"",globally,global,trade,percent,""zealand market"",long,sentiment,shares,strength,australia,active,pandey,oil,open,opened,trump,european,president,yields,eur,""major currencies"",""currency exchange"",straight,lcocv,friday,miapj}",{stocks},"Dollar dips, stocks slip on Trump remarks",
https://t.co/naGW2lT8mD,Reuters,1532307024,"{parkour,women,sport,sports,egypt,climbing,body,trained,training,train,omran,cairo,taking,fahmy,abdallah,curious,crowds,word,""physical discipline"",parcours,landing,social}","{women,social}",Egyptian women challenge social norms by practicing Parkour,
https://t.co/J1PJF6ZlU7,Reuters,1532306419,"{macron,benalla,president,presidency,criticism,critics,paris,french,video,file,political,police,violence,public,publicly,reinforced,beating,initially,initial,acknowledging,pool,security,day,days,office,officers,alexandre,vey,percent,despite,reported,report,reporting,interior,gerard,media,minister,official}",{presidency},France's Macron orders shake-up of presidency after bodyguard scandal: source,
https://t.co/wQndessy6Q,Reuters,1532305856,"{points,point,""vettel said"",formula,mistake,home,german,lewis,soundly,baldwin,world,fraught,falling,prix,ferrari,germany}",{mistake},Motor racing: Vettel says he will not lose sleep over 'small mistake',
https://t.co/Y0pwnSmiWq,Reuters,1532305570,"{russia,""new sanctions"",senate,senator,rubio,""senators said"",elections,election,republican,trump,house,committee,committees,leader,putin,nation,national,nations,file,congressional,energy,effort,schroeder,step,interview,cowan,meeting,meet,deter,gowdy,like,great,photos,photo,graham,president,heavy,impose,imposed}",{election},Senators push sanctions to send Putin election meddling warning,
https://t.co/69TcFPbZDv,Reuters,1532305248,"{states,state,finance,fuchs,hubert,wish,cohen,aires,presidency}",{},"Tariffs removal not needed for E.U., U.S. talks: European Council representative",
https://t.co/j1ZKv0IieD,Reuters,1532304628,"{tax,digital,""european finance leaders"",state,companies,revenues,revenue,""states feel"",proposed,proposals,giants,facebook,fair,fairness,""global rules"",interim,concerns,key,concerning,flynn,donald,solution,moscovici,major,aires,secretary,taxation,reporters,report,reporting}","{tax,digital}",Europeans press for digital tax at G20 meeting,
